14:18| INFO | DriverManagerConnectionProviderImpl.java 230 | HHH10001008: Cleaning up connection pool [jdbc:mysql://sql11.freesqldatabase.com:3306/sql11218101]
22:36| INFO | Version.java 45 | HHH000412: Hibernate Core {5.2.12.Final}
22:36| INFO | Environment.java 213 | HHH000206: hibernate.properties not found
22:36| INFO | JavaReflectionManager.java 66 | HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
22:36| WARN | DriverManagerConnectionProviderImpl.java 70 | HHH10001002: Using Hibernate built-in connection pool (not for production use!)
22:36| INFO | DriverManagerConnectionProviderImpl.java 126 | HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://sql11.freesqldatabase.com:3306/sql11218101]
22:36| INFO | DriverManagerConnectionProviderImpl.java 135 | HHH10001001: Connection properties: {useUnicode=yes, user=sql11218101, password=****, characterEncoding=UTF-8}
22:36| INFO | DriverManagerConnectionProviderImpl.java 140 | HHH10001003: Autocommit mode: false
22:36| INFO | PooledConnections.java 41 | HHH000115: Hibernate connection pool size: 20 (min=1)
22:36| INFO | Dialect.java 157 | HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
22:36| INFO | DdlTransactionIsolatorNonJtaImpl.java 47 | HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@13a76d71] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
22:36| INFO | QueryTranslatorFactoryInitiator.java 47 | HHH000397: Using ASTQueryTranslatorFactory
22:39| INFO | Version.java 45 | HHH000412: Hibernate Core {5.2.12.Final}
22:39| INFO | Environment.java 213 | HHH000206: hibernate.properties not found
22:39| INFO | JavaReflectionManager.java 66 | HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
22:39| WARN | DriverManagerConnectionProviderImpl.java 70 | HHH10001002: Using Hibernate built-in connection pool (not for production use!)
22:39| INFO | DriverManagerConnectionProviderImpl.java 126 | HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://sql11.freesqldatabase.com:3306/sql11218101]
22:39| INFO | DriverManagerConnectionProviderImpl.java 135 | HHH10001001: Connection properties: {useUnicode=yes, user=sql11218101, password=****, characterEncoding=UTF-8}
22:39| INFO | DriverManagerConnectionProviderImpl.java 140 | HHH10001003: Autocommit mode: false
22:39| INFO | PooledConnections.java 41 | HHH000115: Hibernate connection pool size: 20 (min=1)
22:39| INFO | Dialect.java 157 | HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
22:39| INFO | DdlTransactionIsolatorNonJtaImpl.java 47 | HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@13a76d71] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
22:39| INFO | QueryTranslatorFactoryInitiator.java 47 | HHH000397: Using ASTQueryTranslatorFactory
22:39| ERROR | ZTMFileParser.java 33 | sdfsdgsdg (Nie można odnaleźć określonego pliku)
10:19| INFO | Version.java 45 | HHH000412: Hibernate Core {5.2.12.Final}
10:19| INFO | Environment.java 213 | HHH000206: hibernate.properties not found
10:19| INFO | JavaReflectionManager.java 66 | HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
10:19| WARN | DriverManagerConnectionProviderImpl.java 70 | HHH10001002: Using Hibernate built-in connection pool (not for production use!)
10:19| INFO | DriverManagerConnectionProviderImpl.java 126 | HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://sql11.freesqldatabase.com:3306/sql11218101]
10:19| INFO | DriverManagerConnectionProviderImpl.java 135 | HHH10001001: Connection properties: {useUnicode=yes, user=sql11218101, password=****, characterEncoding=UTF-8}
10:19| INFO | DriverManagerConnectionProviderImpl.java 140 | HHH10001003: Autocommit mode: false
10:19| INFO | PooledConnections.java 41 | HHH000115: Hibernate connection pool size: 20 (min=1)
10:19| ERROR | DatabaseConnection.java 27 | Unable to create requested service [org.hibernate.engine.jdbc.env.spi.JdbcEnvironment]
10:20| WARN | DriverManagerConnectionProviderImpl.java 70 | HHH10001002: Using Hibernate built-in connection pool (not for production use!)
10:20| INFO | DriverManagerConnectionProviderImpl.java 126 | HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://sql11.freesqldatabase.com:3306/sql11218101]
10:20| INFO | DriverManagerConnectionProviderImpl.java 135 | HHH10001001: Connection properties: {useUnicode=yes, user=sql11218101, password=****, characterEncoding=UTF-8}
10:20| INFO | DriverManagerConnectionProviderImpl.java 140 | HHH10001003: Autocommit mode: false
10:20| INFO | PooledConnections.java 41 | HHH000115: Hibernate connection pool size: 20 (min=1)
10:20| ERROR | DatabaseConnection.java 27 | Unable to create requested service [org.hibernate.engine.jdbc.env.spi.JdbcEnvironment]
10:20| WARN | DriverManagerConnectionProviderImpl.java 70 | HHH10001002: Using Hibernate built-in connection pool (not for production use!)
10:20| INFO | DriverManagerConnectionProviderImpl.java 126 | HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://sql11.freesqldatabase.com:3306/sql11218101]
10:20| INFO | DriverManagerConnectionProviderImpl.java 135 | HHH10001001: Connection properties: {useUnicode=yes, user=sql11218101, password=****, characterEncoding=UTF-8}
10:20| INFO | DriverManagerConnectionProviderImpl.java 140 | HHH10001003: Autocommit mode: false
10:20| INFO | PooledConnections.java 41 | HHH000115: Hibernate connection pool size: 20 (min=1)
10:20| ERROR | DatabaseConnection.java 27 | Unable to create requested service [org.hibernate.engine.jdbc.env.spi.JdbcEnvironment]
12:16| INFO | Version.java 45 | HHH000412: Hibernate Core {5.2.12.Final}
12:16| INFO | Environment.java 213 | HHH000206: hibernate.properties not found
12:16| INFO | JavaReflectionManager.java 66 | HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
12:17| WARN | DriverManagerConnectionProviderImpl.java 70 | HHH10001002: Using Hibernate built-in connection pool (not for production use!)
12:17| INFO | DriverManagerConnectionProviderImpl.java 126 | HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://tyrolese-screws.000webhostapp.com:3306/id4642694_przproject]
12:17| INFO | DriverManagerConnectionProviderImpl.java 135 | HHH10001001: Connection properties: {useUnicode=yes, user=id4642694_przproject, password=****, characterEncoding=UTF-8}
12:17| INFO | DriverManagerConnectionProviderImpl.java 140 | HHH10001003: Autocommit mode: false
12:17| INFO | PooledConnections.java 41 | HHH000115: Hibernate connection pool size: 20 (min=1)
12:17| ERROR | DatabaseConnection.java 27 | Unable to create requested service [org.hibernate.engine.jdbc.env.spi.JdbcEnvironment]
12:17| WARN | DriverManagerConnectionProviderImpl.java 70 | HHH10001002: Using Hibernate built-in connection pool (not for production use!)
